Date,Price,Chg,Av_Sev,Av_OneFrty,SevOverFortyFlag,Av_Six,Av_TwenOne,SixOverTwenOneFlag,DM_P,DM_N,ATR,ADX
Sep 24-2013,12842.7,-0.06,13014.304555066508,13432.240963855425,False,13058.811641388369,13003.22600012809,True,99.70000000000073,25.0,395.0333333333332,173.8796017601741
Sep 25-2013,12833.1,-0.07,12998.43371843434,13425.22261904762,False,13056.06878424551,12987.760000116443,True,-80.0,1.0,355.0299999999999,173.70952291416245
Sep 26-2013,12792.05,-0.32,12982.247042366687,13418.256470588238,False,13044.340212816938,12969.968181924041,True,-30.100000000000364,80.0,337.9466666666666,213.88750143077894
Sep 27-2013,13472.55,5.32,12984.12541623604,13410.975000000004,False,13238.768784245507,13015.657438112763,True,772.1000000000003,-110.0,351.10666666666657,215.71412408405453
Sep 30-2013,13385.05,-0.65,13026.06286239128,13411.682758620696,False,13213.768784245507,13049.238580102514,True,-142.0,-471.0,347.7066666666666,159.42291510904107
Oct 01-2013,13855.65,3.52,13071.954394747514,13411.380113636365,False,13348.22592710265,13122.548709184104,True,370.0,11.0,375.10666666666657,156.84576263620707
Oct 03-2013,14549.25,5.01,13162.73747793948,13416.37191011236,False,13546.397355674082,13252.248826531,True,716.0,-640.0,395.08666666666664,234.07962989997134
Oct 04-2013,14389.05,-1.1,13284.271394797734,13428.959444444443,False,13500.625927102652,13355.594387755456,True,5.0,-305.70000000000067,396.1333333333332,269.6318299187921
Oct 07-2013,14824.05,3.02,13396.959334579244,13439.50989010989,False,13624.91164138837,13489.090352504958,True,228.0,-64.29999999999927,417.4066666666666,294.42742759196216
Oct 08-2013,14991.4,1.13,13531.408934124538,13454.559239130434,True,13672.72592710265,13625.663956822693,True,236.6499999999996,-400.5,417.8199999999998,396.78112882926064
Oct 09-2013,14867.45,-0.83,13660.643845362898,13471.084408602152,True,13637.311641388364,13738.55359711154,False,-137.64999999999964,-16.549999999999272,423.8533333333332,477.0088147436099
Oct 10-2013,14671.55,-1.32,13764.8351859253,13485.939361702123,True,13581.340212816936,13823.37145191958,False,-49.0,87.04999999999926,434.32666666666654,571.6145626922195
Oct 11-2013,15184.35,3.5,13861.70887580917,13498.41947368421,True,13727.854498531224,13947.096774472346,False,351.0,-130.10000000000036,445.27666666666653,619.4708249327598
Oct 14-2013,15335.75,1.0,13986.213766740733,13515.98125,True,13771.111641388366,14073.337976793042,False,150.0,-290.0,425.2933333333332,659.9361006074195
Oct 15-2013,15086.9,-1.62,14101.88901970028,13534.74175257732,True,13700.011641388366,14165.479978902766,False,-12.049999999999272,19.700000000000728,443.51,755.9311002639731
Oct 17-2013,15114.8,0.18,14192.221387947759,13550.580102040813,True,13707.983069959795,14251.781799002514,False,-137.95000000000073,-27.20000000000073,442.4033333333333,780.4929194613732
Oct 18-2013,15265.55,1.0,14280.338649734838,13566.380303030302,True,13751.054498531223,14343.94254454774,False,39.95000000000073,33.350000000000364,451.45,877.8668891256929
Oct 21-2013,15297.8,0.21,14370.811768644988,13583.372,True,13760.268784245507,14430.656858679764,False,45.6999999999989,-125.75,451.8333333333333,1080.6597527890099
Oct 22-2013,15721.9,2.77,14467.029904914138,13600.346534653465,True,13881.44021281694,14548.042598799786,False,439.1499999999997,50.0,440.6866666666666,1110.8562362540908
Oct 23-2013,15638.9,-0.53,14578.77097629838,13621.146078431371,True,13857.72592710265,14647.211453454349,False,24.20000000000073,-379.95000000000067,446.6899999999999,1082.7223616826307
Oct 24-2013,15643.65,0.03,14675.28014490634,13640.735922330095,True,13859.083069959795,14737.79677586759,False,101.0,-46.04999999999927,430.9566666666666,1301.319294569439
Oct 25-2013,15472.65,-1.09,14758.49686668822,13659.99471153846,True,13810.22592710265,14804.60161442508,False,-260.0,149.8500000000004,402.8133333333333,1277.3825598208534
Oct 28-2013,15353.5,-0.77,14820.063540779303,13677.258095238094,True,13776.183069959796,14854.501467659165,False,-40.04999999999927,76.14999999999964,397.12333333333333,2748.4855287606415
Oct 29-2013,15541.1,1.22,14873.842271387075,13693.071698113206,True,13829.783069959794,14916.919516053784,False,3.9499999999989086,-1.1000000000003638,380.71,2692.8782787091286
Oct 30-2013,15645.45,0.67,14937.441501517058,13710.342990654206,True,13859.59735567408,14983.149560048894,False,133.10000000000036,-208.8999999999996,370.1666666666667,2641.2950075639706
