Date,Price,Open,High,Low,Volume,Chg
Sep 02-2014,25607.15,25201.00,25850.00,25201.00,10610.0,1.36
Sep 01-2014,25264.15,24114.45,25299.00,24080.00,14550.0,5.13
Aug 28-2014,24030.95,24013.00,24270.00,23953.15,2560.0,-0.93
Aug 27-2014,24255.40,24112.90,24320.00,24002.05,2910.0,0.87
Aug 26-2014,24047.30,24005.05,24211.95,23900.00,3070.0,-0.27
Aug 25-2014,24112.90,24325.15,24379.95,24065.00,2870.0,-0.87
Aug 22-2014,24325.15,24250.00,24400.00,24199.25,2580.0,0.46
Aug 21-2014,24214.85,24165.00,24345.00,24025.00,3650.0,0.21
Aug 20-2014,24163.80,24299.00,24299.00,24020.05,3220.0,-0.62
Aug 19-2014,24315.55,24050.00,24444.00,23815.15,5650.0,0.90
Aug 18-2014,24097.95,23300.00,24150.00,23275.05,5530.0,3.14
Aug 14-2014,23364.95,23300.00,23470.00,23260.00,1700.0,0.15
Aug 13-2014,23329.65,23360.00,23567.80,23275.00,3870.0,-0.30
Aug 12-2014,23399.85,23336.00,23599.00,23336.00,3670.0,0.17
Aug 11-2014,23360.20,23795.00,23797.95,23238.00,4760.0,-0.32
Aug 08-2014,23434.35,23504.00,23749.85,23360.00,2870.0,-0.64
Aug 07-2014,23585.05,23484.25,23685.00,23350.05,4190.0,0.26
Aug 06-2014,23524.25,23555.20,23868.95,23430.00,6890.0,-1.11
Aug 05-2014,23788.40,23626.00,23899.00,23500.00,3550.0,0.40
Aug 04-2014,23694.55,23280.10,23750.00,23280.10,4990.0,1.59
Aug 01-2014,23324.15,23265.00,23950.00,22999.95,9110.0,-0.06
Jul 31-2014,23337.20,23600.00,23675.00,23255.75,4990.0,-1.05
Jul 30-2014,23584.65,23551.00,23749.00,23312.00,3680.0,-0.04
Jul 28-2014,23594.45,23725.00,23990.00,23500.00,3640.0,-0.53
Jul 25-2014,23719.70,24089.00,24089.00,23336.60,5950.0,-0.58
Jul 24-2014,23858.10,24499.00,24680.65,23701.20,19600.0,-1.95
Jul 23-2014,24332.30,22999.00,24768.65,22450.00,59160.0,5.83
Jul 22-2014,22992.05,23399.00,23399.00,22905.00,4350.0,-0.95
Jul 21-2014,23211.85,23335.10,23549.00,23130.05,3480.0,-0.43
Jul 18-2014,23311.65,23099.00,23474.95,22880.00,6290.0,0.10
Jul 17-2014,23288.55,22700.00,23350.10,22700.00,7540.0,2.05
Jul 16-2014,22821.30,22460.00,22924.15,21625.00,10090.0,4.17
Jul 15-2014,21906.75,21655.00,21988.00,21610.00,3130.0,1.83
Jul 14-2014,21513.90,21617.10,21899.00,21001.00,4220.0,-0.48
Jul 11-2014,21617.10,22500.00,22660.00,21360.05,7700.0,-3.69
Jul 10-2014,22445.05,22801.25,23132.80,22050.00,10260.0,-1.70
Jul 09-2014,22833.60,23001.00,23250.00,22651.05,4560.0,-0.54
Jul 08-2014,22957.75,23750.00,23750.00,22766.00,4280.0,-2.81
Jul 07-2014,23620.85,23750.00,23859.95,23540.00,2200.0,-0.51
Jul 04-2014,23742.45,23970.00,23970.00,23572.60,3610.0,0.04
Jul 03-2014,23732.40,23875.00,24049.00,23550.00,3470.0,-0.56
Jul 02-2014,23866.05,23750.00,24034.50,23658.85,8730.0,0.91
Jul 01-2014,23649.75,23699.80,23775.00,23500.00,2940.0,0.16
Jun 30-2014,23611.60,23199.60,23670.00,23199.60,3790.0,1.88
Jun 27-2014,23176.30,23340.00,23550.00,23110.50,5170.0,0.07
Jun 26-2014,23159.10,23580.00,23687.00,22986.95,10630.0,-1.41
Jun 25-2014,23490.60,23521.00,23950.00,23406.00,5330.0,-1.29
Jun 24-2014,23798.05,23601.00,24048.00,23601.00,5500.0,0.79
Jun 23-2014,23610.90,23300.00,23697.95,23250.00,4890.0,1.86
Jun 20-2014,23180.50,23263.00,23500.00,23110.05,1920.0,-0.56
Jun 19-2014,23312.15,23332.00,23749.95,23200.00,2690.0,-0.73
Jun 18-2014,23483.90,23400.00,23888.00,23400.00,5120.0,0.06
Jun 17-2014,23469.30,22801.70,23550.00,22801.70,5180.0,2.91
Jun 16-2014,22804.60,23250.00,23410.00,22448.95,6490.0,-2.04
Jun 13-2014,23279.05,23800.00,24079.15,23200.00,5080.0,-2.46
Jun 12-2014,23866.95,23784.00,24085.00,23705.60,2880.0,0.34
Jun 11-2014,23785.30,24265.05,24599.00,23655.00,7480.0,-1.89
Jun 10-2014,24242.75,24560.00,24634.65,24192.95,6130.0,-1.40
Jun 09-2014,24585.90,24150.00,24635.00,24122.00,4140.0,1.01
Jun 06-2014,24340.20,23900.05,24548.00,23900.05,9640.0,2.06
Jun 05-2014,23848.40,23012.00,23921.65,23012.00,7360.0,3.05
Jun 04-2014,23142.40,23189.40,23300.05,23055.10,2060.0,-0.24
Jun 03-2014,23198.45,22985.00,23300.00,22950.00,3630.0,0.82
Jun 02-2014,23009.15,22506.00,23130.00,22506.00,5100.0,1.21
May 30-2014,22733.30,22710.00,22920.00,22653.05,3760.0,-0.88
May 29-2014,22936.10,22800.00,23098.80,22800.00,2550.0,0.24
May 28-2014,22880.95,23020.00,23020.00,22551.00,10580.0,0.66
May 27-2014,22731.70,23098.00,23100.00,22550.00,5540.0,-1.49
May 26-2014,23076.45,23200.00,23390.00,22750.05,9200.0,-0.29
May 23-2014,23143.50,22850.00,23278.60,22850.00,5100.0,1.36
May 22-2014,22833.45,22542.95,23045.00,22542.00,5560.0,1.73
May 21-2014,22445.30,22769.00,22975.00,22401.00,7870.0,-1.45
May 20-2014,22775.90,22905.00,23002.20,22567.30,5190.0,-0.19
May 19-2014,22820.20,22161.00,23000.00,22161.00,4640.0,2.69
May 16-2014,22222.80,21950.00,22670.00,21715.00,9590.0,2.96
