Date,Price,Chg,Av_Sev,Av_OneFrty,SevOverFortyFlag,Av_Six,Av_TwenOne,SixOverTwenOneFlag,DM_P,DM_N,TR
Sep 04-2018,71028.9,-2.75,74486.57976355887,74135.66246880642,True,29683.440212816935,74263.35669581922,False,-569.9499999999971,2150.0,2750.0
Sep 05-2018,70352.3,-0.95,74153.18608466939,74081.99775293682,True,29490.125927102654,73907.80608710839,False,-2301.0,849.0,1298.0
Sep 06-2018,70830.55,0.68,73821.122817049,74035.87792665404,False,29626.76878424551,73628.0555337349,False,-314.6999999999971,-99.0,884.3000000000029
Sep 07-2018,71251.95,0.59,73561.12298348887,73996.38958726887,False,29747.168784245507,73412.045939759,False,1015.6999999999971,-532.0500000000029,1367.949999999997
Sep 10-2018,70506.5,-1.05,73330.19957525875,73946.88760730761,False,29534.183069959796,73147.90539978091,False,-449.9499999999971,182.0500000000029,1100.050000000003
Sep 11-2018,69769.55,-1.05,73052.74045894202,73887.6345916011,False,29323.625927102654,72840.78218161901,False,-450.1000000000058,850.0,1499.949999999997
Sep 12-2018,69143.35,-0.9,72736.62916241848,73820.33977469896,False,29144.711641388367,72504.65198329001,False,-1141.0,1398.8999999999942,1757.8499999999913
Sep 14-2018,70244.3,1.59,72440.98009643678,73769.61580626352,False,29459.26878424551,72299.16543935456,False,753.9499999999971,-1298.8999999999942,1212.8999999999942
Sep 17-2018,69782.3,-0.66,72228.26782134458,73713.0581352527,False,29327.26878424551,72070.35949032233,False,-512.8999999999942,-150.10000000000582,549.8999999999942
Sep 18-2018,68731.35,-1.51,71976.30288496114,73642.39560851152,False,29026.99735567408,71766.8131730203,False,-81.0,1149.25,1618.1499999999942
Sep 19-2018,67783.4,-1.38,71654.60435124509,73559.28928782341,False,28756.15449853122,71404.68470274573,False,-869.0500000000029,1110.8500000000058,1859.949999999997
Sep 21-2018,66744.4,-1.53,71273.40907731626,73462.62419154221,False,28459.29735567408,70981.02245704156,False,-749.9499999999971,4890.0,6000.0
Sep 24-2018,64568.0,-3.26,70800.37393712491,73336.45930939267,False,27837.46878424551,70398.02041549233,False,-1499.949999999997,-1950.0,2550.050000000003
Sep 25-2018,65780.65,1.88,70267.95364322494,73229.28470925943,False,28183.940212816935,69978.25946862939,False,99.94999999999709,1325.0,3975.0
Sep 26-2018,66318.55,0.82,69875.16906106238,73131.26010345433,False,28337.625927102654,69645.5586078449,False,-112.0,-2675.0,1188.0
Sep 27-2018,64202.85,-3.19,69492.24287241265,73004.61598851172,False,27733.140212816936,69150.76691622264,False,1212.0,1849.949999999997,4249.949999999997
Sep 28-2018,63598.55,-0.94,68994.36643970932,72871.19661278815,False,27560.483069959795,68646.01992383876,False,-2462.600000000006,1650.050000000003,3437.399999999994
Oct 01-2018,63025.65,-0.9,68487.69964429401,72731.54346934434,False,27396.79735567408,68135.07720348978,False,-1637.3999999999942,150.0,1950.0
Oct 03-2018,63138.8,0.18,67994.33700057458,72595.47618609123,False,27429.125927102654,67680.87018499071,False,-446.0,-405.0500000000029,1098.949999999997
Oct 04-2018,61603.8,-2.43,67509.68510935717,72439.5658855793,False,26990.554498531223,67128.40925908246,False,-954.0500000000029,1155.050000000003,1299.949999999997
